"region","term","n_distinct(extraction_date)"
"AT","_m_0gt5b",130
"AT","meth",130
"AT-1","_m_0gt5b",130
"AT-1","meth",130
"AT-2","_m_0gt5b",130
"AT-2","meth",130
"AT-3","_m_0gt5b",130
"AT-3","meth",130
"AT-4","_m_0gt5b",130
"AT-4","meth",130
"AT-5","_m_0gt5b",130
"AT-5","meth",130
"AT-6","_m_0gt5b",130
"AT-6","meth",130
"AT-7","_m_0gt5b",130
"AT-7","meth",130
"AT-8","_m_0gt5b",130
"AT-8","meth",130
"AT-9","_m_0gt5b",130
"AT-9","meth",130
"CH","_m_0gt5b",130
"CH","meth",130
"CH-AG","_m_0gt5b",130
"CH-AG","meth",130
"CH-AI","_m_0gt5b",130
"CH-AI","meth",130
"CH-AR","_m_0gt5b",130
"CH-AR","meth",130
"CH-BE","_m_0gt5b",130
"CH-BE","meth",130
"CH-BL","_m_0gt5b",130
"CH-BL","meth",130
"CH-BS","_m_0gt5b",130
"CH-BS","meth",130
"CH-FR","_m_0gt5b",130
"CH-FR","meth",130
"CH-GE","_m_0gt5b",130
"CH-GE","meth",130
"CH-GL","_m_0gt5b",130
"CH-GL","meth",130
"CH-GR","_m_0gt5b",130
"CH-GR","meth",130
"CH-JU","_m_0gt5b",130
"CH-JU","meth",130
"CH-LU","_m_0gt5b",130
"CH-LU","meth",130
"CH-NE","_m_0gt5b",130
"CH-NE","meth",130
"CH-NW","_m_0gt5b",130
"CH-NW","meth",130
"CH-OW","_m_0gt5b",130
"CH-OW","meth",130
"CH-SG","_m_0gt5b",130
"CH-SG","meth",130
"CH-SH","_m_0gt5b",130
"CH-SH","meth",130
"CH-SO","_m_0gt5b",130
"CH-SO","meth",130
"CH-SZ","_m_0gt5b",130
"CH-SZ","meth",130
"CH-TG","_m_0gt5b",130
"CH-TG","meth",130
"CH-TI","_m_0gt5b",130
"CH-TI","meth",130
"CH-UR","_m_0gt5b",130
"CH-UR","meth",130
"CH-VD","_m_0gt5b",130
"CH-VD","meth",130
"CH-VS","_m_0gt5b",130
"CH-VS","meth",130
"CH-ZG","_m_0gt5b",130
"CH-ZG","meth",130
"CH-ZH","_m_0gt5b",130
"CH-ZH","meth",130
"CZ","_m_0gt5b",130
"CZ","meth",130
"CZ-JC","_m_0gt5b",130
"CZ-JC","meth",130
"CZ-JM","_m_0gt5b",130
"CZ-JM","meth",130
"CZ-KA","_m_0gt5b",130
"CZ-KA","meth",130
"CZ-KR","_m_0gt5b",130
"CZ-KR","meth",130
"CZ-LI","_m_0gt5b",130
"CZ-LI","meth",130
"CZ-MO","_m_0gt5b",130
"CZ-MO","meth",130
"CZ-OL","_m_0gt5b",130
"CZ-OL","meth",130
"CZ-PA","_m_0gt5b",130
"CZ-PA","meth",130
"CZ-PL","_m_0gt5b",130
"CZ-PL","meth",130
"CZ-PR","_m_0gt5b",130
"CZ-PR","meth",130
"CZ-ST","_m_0gt5b",130
"CZ-ST","meth",130
"CZ-US","_m_0gt5b",130
"CZ-US","meth",130
"CZ-VY","_m_0gt5b",130
"CZ-VY","meth",130
"CZ-ZL","_m_0gt5b",130
"CZ-ZL","meth",130
"DE","_m_0gt5b",130
"DE","meth",130
"DE-BB","_m_0gt5b",130
"DE-BB","meth",130
"DE-BE","_m_0gt5b",130
"DE-BE","meth",130
"DE-BW","_m_0gt5b",130
"DE-BW","meth",130
"DE-BY","_m_0gt5b",130
"DE-BY","meth",130
"DE-HB","_m_0gt5b",130
"DE-HB","meth",130
"DE-HE","_m_0gt5b",130
"DE-HE","meth",130
"DE-HH","_m_0gt5b",130
"DE-HH","meth",130
"DE-MV","_m_0gt5b",130
"DE-MV","meth",130
"DE-NI","_m_0gt5b",130
"DE-NI","meth",130
"DE-NW","_m_0gt5b",130
"DE-NW","meth",130
"DE-RP","_m_0gt5b",130
"DE-RP","meth",130
"DE-SH","_m_0gt5b",130
"DE-SH","meth",130
"DE-SL","_m_0gt5b",130
"DE-SL","meth",130
"DE-SN","_m_0gt5b",130
"DE-SN","meth",130
"DE-ST","_m_0gt5b",130
"DE-ST","meth",130
"DE-TH","_m_0gt5b",130
"DE-TH","meth",130
"PL","_m_0gt5b",130
"PL","meth",130
"PL-DS","_m_0gt5b",130
"PL-DS","meth",130
"PL-KP","_m_0gt5b",130
"PL-KP","meth",130
"PL-LB","_m_0gt5b",130
"PL-LB","meth",130
"PL-LD","_m_0gt5b",130
"PL-LD","meth",130
"PL-LU","_m_0gt5b",130
"PL-LU","meth",130
"PL-MA","_m_0gt5b",130
"PL-MA","meth",130
"PL-MZ","_m_0gt5b",130
"PL-MZ","meth",130
"PL-OP","_m_0gt5b",130
"PL-OP","meth",130
"PL-PD","_m_0gt5b",130
"PL-PD","meth",130
"PL-PK","_m_0gt5b",130
"PL-PK","meth",130
"PL-PM","_m_0gt5b",130
"PL-PM","meth",130
"PL-SK","_m_0gt5b",130
"PL-SK","meth",130
"PL-SL","_m_0gt5b",130
"PL-SL","meth",130
"PL-WN","_m_0gt5b",130
"PL-WN","meth",130
"PL-WP","_m_0gt5b",130
"PL-WP","meth",130
"PL-ZP","_m_0gt5b",130
"PL-ZP","meth",130
